NodeID,Username,NodeType,NetworkType,TxPackets,RxPackets,LostPackets,PacketLossRate,TotalBytes,TweetCount,StormTweetCount,AvgIAT_s,StdIAT_s,PlannedWifiPkts,Planned5GPkts,AvgDelay_ms,AvgJitter_ms,Throughput_bps,TotalDistance_m
6,#winelover bot,bot,WiFi,2950,2949,1,0.000338983,822004,3184,0,37078.6,266332,3184,0,17.5952,3.1053,109601,0
7,Aaron Chewning,human,5G+WiFi,516,481,35,0.0678295,191810,3203,2,18431.2,29698.9,2206,1003,23.3419,4.14841,25574.7,43.9253
8,Accidental Haiku,bot,WiFi,1279,1278,1,0.000781861,386536,1690,11,78949.2,1.10433e+06,1718,0,16.5151,3.8812,51538.1,0
9,Ace Attorney Bot,bot,WiFi,3099,3098,1,0.000322685,633082,3216,1,1870.54,473.728,3219,0,12.5217,4.94735,84410.9,0
10,Alex Holley,human,5G+WiFi,1119,1114,5,0.00446828,422411,3213,1,7510.82,17963.3,2143,1074,15.9816,2.47635,56321.5,51.8572
11,Allsorts Bot,bot,WiFi,3883,3882,1,0.000257533,876054,3200,537,10610.4,14180.2,4479,0,11.9833,3.47098,116807,0
12,Andrew McMahon,human,5G+WiFi,2644,2601,43,0.0162632,1126879,3242,34,30973.7,59186.3,1775,1550,71.7636,9.07673,150251,49.7567
13,Andrew McMahon Bot,bot,WiFi,1966,1965,1,0.000508647,548423,2971,202,50607.1,889345,3487,0,32.6093,1.63626,73123.1,0
14,Andy Richter,human,5G+WiFi,243,218,25,0.102881,90414,3199,8,2833.53,7035.72,2000,1214,43.2699,7.8762,12055.2,54.2211
15,Art Critic Bot,bot,WiFi,2890,2889,1,0.000346021,532422,3238,76,60856,133435,3433,0,11.3219,3.26059,70989.6,0
16,Asad Umar,human,5G+WiFi,102,52,50,0.490196,53256,3228,17,40577.7,83640,1761,1516,134.207,22.8237,7100.8,55.6208
17,Asher Wolf,human,5G+WiFi,3555,3552,3,0.000843882,1430175,3234,29,208.135,1224.76,2290,1021,43.7518,4.16541,190690,53.1035
18,Auto Charts,bot,WiFi,2139,2138,1,0.000467508,315756,2204,0,67321.5,37252.3,2204,0,11.8695,4.766,42100.8,0
19,Awl Tags,bot,WiFi,4403,4402,1,0.000227118,894738,3224,572,23053.7,219631,4627,0,13.8755,2.58909,119298,0
20,Beckett Bot,bot,WiFi,781,780,1,0.00128041,119145,850,3,160352,1.14654e+06,855,0,13.7499,4.85511,15886,0
21,Big Ben,bot,WiFi,3094,3093,1,0.000323206,468153,3248,0,3779.59,897.457,3248,0,11.8017,4.64371,62420.4,0
22,Brian,human,5G+WiFi,2246,2195,51,0.022707,1154608,3149,24,27472.9,580762,1306,1907,52.5103,1.60619,153948,56.5677
23,Brrnrrd,human,5G+WiFi,744,701,43,0.0577957,301304,3088,20,82085.3,228663,2049,1090,62.6902,7.48416,40173.9,48.2942
24,Camptown Ladies,bot,WiFi,3118,3117,1,0.000320718,470616,3200,40,2251.69,7619.31,3297,0,12.9784,4.08586,62748.8,0
25,CryptoMarket News,bot,WiFi,2742,2741,1,0.000364697,597826,2922,0,8328.31,9285.84,2922,0,12.9589,4.72785,79710.1,0
26,DJ SCREAM,human,5G+WiFi,2765,2746,19,0.00687161,1098918,3192,101,11085.7,18275.9,2511,920,12.9049,2.8704,146522,52.866
27,Danny Gonzalez,human,5G+WiFi,1080,1055,25,0.0231481,402325,3193,3,23405.8,40690.8,1730,1470,20.2899,3.16037,53643.3,53.2082
28,Darius Kazemi,human,5G+WiFi,11400,11332,68,0.00596491,4882443,6328,3177,3434.74,18163.4,11601,2570,26.8377,1.98609,650992,48.0507
29,Dear Assistant,bot,WiFi,3555,3555,0,0,699787,3226,170,32066.3,181549,3674,0,13.3334,2.49942,93304.9,0
30,Deep Question Bot,bot,WiFi,3079,3078,1,0.000324781,557281,3205,0,14410.3,376.12,3205,0,11.4422,4.44443,74304.1,0
31,Drew Gooden,human,5G+WiFi,3157,3156,1,0.000316756,1222033,3169,0,34852.6,52108.8,2524,645,24.2265,5.58768,162938,51.4985
32,Eddie Izzard,human,5G+WiFi,968,955,13,0.0134298,376356,3197,15,47899,127504,2352,880,16.7035,2.52068,50180.8,48.4664
33,Every Sheriff Bot,bot,WiFi,3218,3217,1,0.000310752,1814037,3224,0,3622.34,867.399,3224,0,12.4504,4.30438,241872,0
34,Fake Bloomberg News,bot,WiFi,3136,3135,1,0.000318878,627554,3232,0,5246.8,16277.5,3232,0,11.2118,3.21167,83673.9,0
35,Garry12gg,bot,WiFi,2937,2936,1,0.000340483,538911,3182,6,15618.2,62390.4,3201,0,10.9932,1.56942,71854.8,0
36,God Bot,bot,WiFi,2942,2941,1,0.000339905,569657,3200,0,3578.35,3610.83,3200,0,9.4358,2.20843,75954.3,0
37,Guy Fieri,human,5G+WiFi,1099,1094,5,0.00454959,422485,3231,6,84251.6,116617,2186,1058,15.916,2.43292,56331.3,52.2426
38,Hacker News Bot,bot,WiFi,2587,2586,1,0.000386548,587663,3232,2,15988.8,286262,3235,0,10.3488,1.91832,78355.1,0
39,Hey, it's Opus!,human,5G+WiFi,1549,1544,5,0.00322789,585293,3209,4,77142.5,132252,1712,1508,18.9704,3.10133,78039.1,53.7822
40,Horse ebooks,bot,WiFi,3077,3076,1,0.000324992,515123,3200,0,10780.3,4091.46,3200,0,9.9325,2.86428,68683.1,0
41,Hurricane Sandy Help,bot,WiFi,877,876,1,0.00114025,230672,943,2,1811.62,10470.4,950,0,10.8273,2.19868,30756.3,0
